id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2HRgqmZQC0MC7GeNuDIXHN,0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,4
3Ua0m0YmEjrMi9XErKcNiR,0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,4
2KslE17cAJNHTsI2MI0jb2,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,4
2N0SPREDYqILVEFSsWF5N5,0.633,0.607,0,-6.182,0,0.0532,0.183,1.38e-06,0.167,0.363,74.029,4
7jLSThU5Kg1RWt19Leiaxm,0.598,0.489,11,-8.884,0,0.0486,0.587,0.0,0.119,0.502,204.179,3
4CUvVaAYuXtvYURLFz7EIL,0.517,0.467,0,-7.222,1,0.0442,0.724,0.0,0.0908,0.453,199.815,3
7tI8dRuH2Yc6RuoTjxo4dU,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4
17iGUekw5nFt5mIRJcUm3R,0.569,0.66,2,-5.268,1,0.0358,0.0675,0.0,0.202,0.497,155.907,4
25h0TqC9H3BcMA7KjK5nHK,0.56,0.42,7,-10.729,1,0.257,0.882,0.000605,0.11,0.585,173.695,4
4exlWP8cokkWVCvyP3kg7c,0.627,0.591,4,-7.908,1,0.0316,0.344,0.000134,0.159,0.358,140.018,4
6VXVYATpQXEIoZ97NnWCmn,0.775,0.358,9,-6.473,0,0.0527,0.861,0.0,0.415,0.524,139.982,4
4qYfRfSxsmhJ1WMaywtLyI,0.768,0.325,7,-11.863,1,0.15,0.133,7.69e-06,0.174,0.525,76.975,4
5fFLotKS1286huYIMQHqz7,0.888,0.418,0,-9.812,1,0.0573,0.665,0.0,0.111,0.531,127.073,4
5iZHnufFUgATzrpGgH1K0W,0.662,0.205,5,-14.005,0,0.0349,0.876,0.00354,0.109,0.268,139.911,4
5BTzf3doGTigDIYUFtbkI9,0.494,0.395,6,-8.653,1,0.0301,0.887,1.43e-05,0.058,0.179,141.464,4
1xoadYaxtOp9gHDwgmPDuz,0.624,0.604,2,-5.438,1,0.0619,0.784,0.00869,0.108,0.354,136.077,4
5Odq8ohlgIbQKMZivbWkEo,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,4
5T6j0rfpCDBzAxC8Fpd0N7,0.758,0.773,6,-7.266,0,0.214,0.631,2.1e-06,0.114,0.907,169.996,4
2bgTY4UwhfBYhGT4HUYStN,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,4
5ECHJ1llWBNYLVCYrllD3x,0.71,0.552,5,-10.257,1,0.0694,0.761,1.22e-05,0.0921,0.617,139.904,4
3YctJXK6kznnWl68TnYobN,0.703,0.28,3,-9.56,1,0.0293,0.726,0.000282,0.118,0.338,141.892,3
25edeHHueINMguqu9emCyV,0.765,0.476,4,-7.714,0,0.0304,0.84,0.00013,0.079,0.427,91.989,4
6iXGivPFpsqKmrINhIbPvx,0.704,0.542,2,-4.663,0,0.0307,0.476,0.000196,0.141,0.386,97.006,4
6Hs2xIgB8nzyGFDvVA8lFa,0.79,0.423,9,-7.965,0,0.0533,0.87,0.0,0.149,0.726,133.961,4
3ukrFH17Zl6iEZ2QJ1Zwiy,0.808,0.41,2,-10.981,0,0.105,0.816,0.0,0.102,0.361,110.079,4
4saklk6nie3yiGePpBwUoc,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4
3b34161QoxLwsqhWSPy9i5,0.676,0.4,7,-10.771,0,0.0405,0.855,2.71e-06,0.124,0.347,90.028,4
7kgzRBNkBRArtTPkYjWLYT,0.429,0.364,7,-10.006,1,0.0547,0.455,0.0,0.0907,0.0857,173.63,3
5Bti0azlFhMattVY76qFr9,0.625,0.212,0,-9.856,1,0.0336,0.958,0.00157,0.131,0.221,126.589,4
6uxuJ8Fr1AAfSPJUF9N1yr,0.48,0.353,1,-8.391,1,0.0319,0.689,0.000186,0.156,0.319,135.824,4
1MiJk3dXC5jzhvLFP0dUM7,0.66,0.578,9,-8.591,1,0.0306,0.45,8.86e-05,0.103,0.19,127.092,4
7LVrrX8pkzI9fMF88nGabt,0.742,0.662,5,-4.651,1,0.0647,0.578,0.0,0.126,0.486,84.006,4
4qJSUFwZFouto5VZUlln75,0.766,0.511,7,-7.47,1,0.0842,0.536,0.0,0.111,0.609,104.944,4
1EmMFSLRVkOszCa4ul9z0F,0.663,0.344,0,-14.025,1,0.0495,0.922,0.00298,0.0916,0.469,135.904,4
1K0HQ30Wc11okzlcnFA7Ub,0.675,0.635,7,-5.266,1,0.0416,0.246,0.0,0.211,0.642,144.984,4
54UNNgtE3zzERwTuWSQLqd,0.613,0.5,10,-8.349,1,0.0277,0.547,0.000181,0.327,0.342,99.998,4
45Mswno1F7FoZkcmQkp7fi,0.92,0.41,11,-9.497,1,0.455,0.372,0.000595,0.126,0.861,143.034,4
0QzuaeCEEOV40Pn7IvKEny,0.656,0.436,8,-11.141,1,0.0744,0.845,0.0,0.221,0.196,109.239,4
01qFKNWq73UfEslI0GvumE,0.853,0.824,1,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044,4
1o6cYDMHvKOfizi4d9Lqxr,0.593,0.325,6,-11.214,1,0.0296,0.957,0.219,0.286,0.442,110.068,4
3a2Oftcs10wtzw6AmxuTMU,0.638,0.106,3,-15.103,1,0.0424,0.955,1.1e-06,0.237,0.221,123.592,4
7oBUoEbCDF748UkHnLusUB,0.811,0.276,7,-14.892,1,0.042,0.785,2.83e-06,0.128,0.704,95.021,4
3ZbZtdEw9U0uZW4tZItIwq,0.604,0.737,10,-6.575,0,0.0372,0.16,0.0,0.115,0.36,154.173,4
1bG6Q8sR8jda7ryI365y8o,0.535,0.661,0,-7.797,1,0.0314,0.716,2.23e-05,0.125,0.337,135.054,4
4fj4Jn4nw8fGX8xdbCntJf,0.69,0.3,6,-9.204,1,0.039,0.769,1.69e-06,0.123,0.646,81.983,4
76dD9BdSOzsRJSGGBjOcUf,0.783,0.476,0,-8.096,0,0.0293,0.181,0.0,0.0892,0.533,100.017,4
2AiZm17zqkV7llT3SHz4Nu,0.789,0.488,9,-5.662,0,0.297,0.32,0.0,0.0847,0.29,159.986,4
2WOpp4vm16unl0N3i3BNNv,0.754,0.0774,1,-20.617,1,0.0578,0.923,0.0,0.0802,0.701,116.071,4
