Order,Name,Artist,ID
1,Seven (w/ Latto),Jung Kook,2HRgqmZQC0MC7GeNuDIXHN
2,Who,Jimin,7tI8dRuH2Yc6RuoTjxo4dU
3,Mất Kết Nối,Dương Domic,3CmacJj7VC4W6daC8BWd0h
4,Winter Ahead (w/ Park Hyo Shin),V,7G7mSV4BebkoHWwKTDvXu9
5,3D (w/ Jack Harlow),Jung Kook,01qFKNWq73UfEslI0GvumE
6,Exit Sign (w/ marzuz),HIEUTHUHAI,4nXrVH5xwN1w6TpmP7uu8n
7,Bình Yên (w/ Binz),Vũ.,41DlPJXKTCypXdf2eSqa03
8,PHÓNG ZÌN ZÌN (w/ Low G),tlinh,3COYA2vgfcUhDyRlVpZy5p
9,Không Thể Say,HIEUTHUHAI,1K0HQ30Wc11okzlcnFA7Ub
10,Running Wild,Jin,50zAEIE4B1QqhPjRMK2Xmh
11,Wrong Times (w/ Dangrangto),Puppy,3uT8QfoX0BE8ZJa4h98LDW
12,Standing Next to You,Jung Kook,2KslE17cAJNHTsI2MI0jb2
13,number one girl,ROSÉ,02CrqOYzrJR8fYOffhvRZZ
14,"ANH ĐÃ LÀM GÌ ĐÂU (w/ Nhật Hoàng, Thùy Chi)",RAP VIỆT,37ull7GiBZRLhWYDBIYZzW
15,TRÀN BỘ NHỚ (w/ Dương Domic),"ANH TRAI ""SAY HI""",2oVLEoBVDvYrGmzrU7dEm5
16,Chăm Hoa,MONO,40pWxpbXoBYGPCiofujjZ6
17,"NGỰA Ô (w/ TeuYungBoy, DONAL)",Dangrangto,4eeflgjzTF8xN8U2E0dech
18,Sau Cơn Mưa (w/ RHYDER),CoolKid,4fj4Jn4nw8fGX8xdbCntJf
19,Không Yêu Em Thì Yêu Ai? (w/ Low G),Vũ.,0e6fZkLArSmDIHnZcIua7t
20,Die With A Smile (w/ Bruno Mars),Lady Gaga,2plbrEY59IikOBgBGLjaoe
21,LƯỚT TRÊN CON SÓNG (w/ Dangrangto),RAP VIỆT,35gc5FTZehQ5DF2BI6wkgf
22,APT. (w/ Bruno Mars),ROSÉ,5vNRhkKd0yEAg8suGBpjeY
23,"Chịu Cách Mình Nói Thua (w/ Coolkid, BAN)",RHYDER,3ZbZtdEw9U0uZW4tZItIwq
24,"Hẹn Gặp Em Dưới Ánh Trăng (w/ HIEUTHUHAI, HURRYKNG)",MANBO,0s7RyyUlQfd8mnnboHe18n
25,"KIM PHÚT, KIM GIỜ (w/ HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều, Isaac)","ANH TRAI ""SAY HI""",2GE2p2dFpxp7OIz2QOFBzW
26,"SAO HẠNG A (w/ HIEUTHUHAI, Dương Domic, Song Luân, JSOL, Trần Đăng Dương)","ANH TRAI ""SAY HI""",446ygEWkggc5FMbBPQSMuM
27,"HÀO QUANG (w/ RHYDER, Dương Domic, Pháp Kiều)","ANH TRAI ""SAY HI""",7gSQxwCpEMjg8wb6Y3oqe7
28,Bầu Trời Mới (w/ Minh Tốc & Lam),Da LAB,7fCeYpR02Q8JVuD88hJZVT
29,Đừng Làm Trái Tim Anh Đau,Sơn Tùng M-TP,31VNCmwspR7nVJ6kruUuJt
30,Chuyện Đôi Ta (w/ Muộii (Starry Night)),Emcee L (Da LAB),4CUvVaAYuXtvYURLFz7EIL
31,Love Me Again,V,2N0SPREDYqILVEFSsWF5N5
32,Love is,Dangrangto,226ljdOTLM2clGpm4mZvAm
33,NOLOVENOLIFE,HIEUTHUHAI,6D94p9ASguBcYlDC0o56vx
34,Vì Anh Đâu Có Biết (w/ Vũ.),Madihu,6VXVYATpQXEIoZ97NnWCmn
35,Từng Quen (w/ itsnk),Wren Evans,4qYfRfSxsmhJ1WMaywtLyI
36,Chạy Khỏi Thế Giới Này (w/ Phương Ly),Da LAB,5ECHJ1llWBNYLVCYrllD3x
37,nhắn nhủ,Ronboogz,2uZmeuNAxSm7XfVIwLkhCx
38,Miên Man,Minh Huy,7tFwBnuaGXqiiONukPRaCo
39,"Tim Anh Ghen (w/ Dangrangto, TeuYungBoy, LVK)",Wxrdie,3rtOU0GwlsbCNiCqEDLZUN
40,"một đời (w/ Bon Nghiêm, buitruonglinh)",14 Casper,4gaxEUZE4z9pJAVTSFwgQI
41,"NGÁO NGƠ (w/ HIEUTHUHAI, ERIK, Anh Tú Atus, JSOL, Orange)","ANH TRAI ""SAY HI""",0BX2eDMZJrGzApf4ZGXrFi
